2020-06-08 14:54:24.656194 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [9.36 ms]
2020-06-08 14:54:22.962171 ; Session        ; Debug       ; Session log loaded as 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\SessionLogs\tap 2020-06-08 14-54-22.txt'. [7.17 ms]
2020-06-08 14:54:23.021013 ; Session        ; Debug       ; Running '"C:\Users\ae1\AppData\Local\Temp\w4vifer0.suy\tap.exe" package install --dependencies --force "Developer's System CE" --target "C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release"' in 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release'.
2020-06-08 14:54:23.077861 ; Session        ; Debug       ; Microsoft Windows 10.0.18363 X64
2020-06-08 14:54:23.077861 ; Session        ; Debug       ; .NET Framework 4.8.4180.0
2020-06-08 14:54:23.102795 ; Resolver       ; Debug       ; Found 17/17 assembly files. [15.9 ms]
2020-06-08 14:54:23.121744 ; Session        ; Debug       ; OpenTAP Engine 9.7.0+c65b0c5a X64
2020-06-08 14:54:23.187568 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ae1\AppData\Local\Temp\w4vifer0.suy\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2020-06-08 14:54:23.282316 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ae1\AppData\Local\Temp\w4vifer0.suy\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2020-06-08 14:54:24.449773 ; Searcher       ; Debug       ; Ordered 16 assemblies according to references. [1.23 s]
2020-06-08 14:54:24.586383 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 137 plugin types. [1.37 s]
2020-06-08 14:54:24.586383 ; PluginManager  ; Debug       ; Found version 9.7.0+c65b0c5a   of OpenTap.dll
2020-06-08 14:54:24.586383 ; PluginManager  ; Debug       ; Found version 9.7.0+c65b0c5a   of OpenTap.Package.dll
2020-06-08 14:54:24.586383 ; PluginManager  ; Debug       ; Found version 9.7.0+c65b0c5a   of OpenTap.Plugins.BasicSteps.dll
2020-06-08 14:54:24.586383 ; PluginManager  ; Debug       ; Searched 17 Assemblies. [1.37 s]
2020-06-08 14:54:24.634255 ; PluginManager  ; Debug       ; Loaded OpenTap. [307 us]
2020-06-08 14:54:24.735418 ; Session        ; Debug       ; Session log loaded as 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\SessionLogs\SessionLog 2020-06-08 14-54-22.txt'. [49.8 ms]
2020-06-08 14:54:24.774400 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [33.9 ms]
2020-06-08 14:54:24.824411 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [13.3 ms]
2020-06-08 14:54:25.065767 ; PackageAction  ; Information ; Installing to C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release
2020-06-08 14:54:25.070753 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [3.71 ms]
2020-06-08 14:54:26.392000 ; PackageAction  ; Debug       ; Found package Developer's System CE version 9.7.1+0031e3f6 [443 ms]
2020-06-08 14:54:26.393995 ; PackageAction  ; Debug       ; Resolving dependencies.
2020-06-08 14:54:28.145173 ; PackageAction  ; Information ; 8 required dependencies are currently not installed.
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency Editor CE 9.7.1+0031e3f6
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency OSIntegration 1.2.1+3fecaa50
2020-06-08 14:54:28.145173 ; PackageAction  ; Debug       ; Adding dependency WPF Controls 9.7.1+0031e3f6
